285.0000 5.0000 320.0000
296.8750 5.0000 320.0000
308.7500 5.0000 320.0000
320.6250 5.0000 320.0000
332.5000 5.0000 320.0000
344.3750 5.0000 320.0000
356.2500 5.0000 320.0000
368.1250 5.0000 320.0000
380.0000 5.0000 320.0000
283.5355 5.0000 323.5355
291.9324 5.0000 331.9324
300.3293 5.0000 340.3293
308.7262 5.0000 348.7262
317.1231 5.0000 357.1231
325.5200 5.0000 365.5200
333.9169 5.0000 373.9169
342.3138 5.0000 382.3138
350.7107 5.0000 390.7107
280.0000 5.0000 325.0000
280.0000 5.0000 336.8750
280.0000 5.0000 348.7500
280.0000 5.0000 360.6250
280.0000 5.0000 372.5000
280.0000 5.0000 384.3750
280.0000 5.0000 396.2500
280.0000 5.0000 408.1250
280.0000 5.0000 420.0000
276.4645 5.0000 323.5355
268.0676 5.0000 331.9324
259.6707 5.0000 340.3293
251.2738 5.0000 348.7262
242.8769 5.0000 357.1231
234.4800 5.0000 365.5200
226.0831 5.0000 373.9169
217.6862 5.0000 382.3138
209.2893 5.0000 390.7107
275.0000 5.0000 320.0000
263.1250 5.0000 320.0000
251.2500 5.0000 320.0000
239.3750 5.0000 320.0000
227.5000 5.0000 320.0000
215.6250 5.0000 320.0000
203.7500 5.0000 320.0000
191.8750 5.0000 320.0000
180.0000 5.0000 320.0000
276.4645 5.0000 316.4645
268.0676 5.0000 308.0676
259.6707 5.0000 299.6707
251.2738 5.0000 291.2738
242.8769 5.0000 282.8769
234.4800 5.0000 274.4800
226.0831 5.0000 266.0831
217.6862 5.0000 257.6862
209.2893 5.0000 249.2893
280.0000 5.0000 315.0000
280.0000 5.0000 303.1250
280.0000 5.0000 291.2500
280.0000 5.0000 279.3750
280.0000 5.0000 267.5000
280.0000 5.0000 255.6250
280.0000 5.0000 243.7500
280.0000 5.0000 231.8750
280.0000 5.0000 220.0000
283.5355 5.0000 316.4645
291.9324 5.0000 308.0676
300.3293 5.0000 299.6707
308.7262 5.0000 291.2738
317.1231 5.0000 282.8769
325.5200 5.0000 274.4800
333.9169 5.0000 266.0831
342.3138 5.0000 257.6862
350.7107 5.0000 249.2893
